bootstrap_replicate,bootstrap_statistic,n_contributing_bootstrap_clusters,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4763,0.02295420104404048,34,20,7,21,83,186
4764,0.015281615002614058,34,24,8,18,114,156
4765,0.016176982640690424,34,21,9,22,82,130
4766,0.006349143619637454,34,21,10,23,118,172
4767,0.022759166018876703,34,20,8,22,109,196
4768,0.011997049126185207,34,20,12,26,128,168
4769,0.030384511013218242,34,21,7,20,128,290
4770,0.018977429728891514,34,21,9,22,127,190
4771,0.01686123045439706,34,19,12,27,138,214
4772,0.012845106429728154,34,22,7,19,85,154
4773,0.012867718984778814,34,24,10,20,98,98
4774,0.017856540225673585,34,19,8,23,109,254
4775,0.018209978032178997,34,19,10,25,114,210
4776,0.030579249790483008,34,22,9,21,103,136
4777,0.023680856244440662,34,22,9,21,102,146
4778,0.012331173773902578,34,22,7,19,87,156
4779,0.013877138384417169,34,22,8,20,81,134
4780,0.01206694012923969,34,24,9,19,94,106
4781,0.017319257706098344,34,23,9,20,87,108
4782,0.013075223468216983,34,24,9,19,76,88
4783,0.022919817986849396,34,23,7,18,105,212
4784,0.029385783544557294,34,21,10,23,102,146
4785,0.011318401520384515,34,23,7,18,67,118
4786,0.023137223854358766,34,20,10,24,138,226
4787,0.015399208658825235,34,23,9,20,115,136
4788,0.011881155304007133,34,21,11,24,134,176
4789,0.009856798216447804,34,23,8,19,96,132
4790,0.014223253099148021,34,19,9,24,138,258
4791,0.013750954720744536,34,21,10,23,93,126
4792,0.031208550180007635,34,19,11,26,117,174
4793,0.036871712117949956,34,22,7,19,69,138
4794,0.012827139739680277,34,23,8,19,82,118
4795,0.01387728677382339,34,21,10,23,83,116
4796,0.007129577320376723,34,22,10,22,104,128
4797,0.007554373361964448,34,22,8,20,130,224
4798,0.01050253048636425,34,22,7,19,66,138
4799,0.012178677764035493,34,21,8,21,131,252
4800,0.02254494136992749,34,20,10,24,151,276
4801,0.012092799541448256,34,20,10,24,137,262
4802,0.012712109933850774,34,23,9,20,107,128
4803,0.021222098038016998,34,21,9,22,121,230
4804,0.012580671442578545,34,20,11,25,135,168
4805,0.011833157238957615,34,23,10,21,107,116
4806,0.013202069418376386,34,23,8,19,83,116
4807,0.015106839552770271,34,21,9,22,112,188
4808,0.016026878739802075,34,22,9,21,128,194
4809,0.014750664675030518,34,21,9,22,143,218
4810,0.0098860409199499,34,20,12,26,114,146
4811,0.013883236779433317,34,25,7,16,79,106
4812,0.016340717723648007,34,21,8,21,92,158
4813,0.018213674875653823,34,22,9,21,107,146
4814,0.01762325057382247,34,18,8,24,131,364
4815,0.011950705474294623,34,19,9,24,143,288
4816,0.012764812045289578,34,25,8,17,99,108
4817,0.014369207545471469,34,22,9,21,95,128
4818,0.01181255043206371,34,21,9,22,112,186
4819,0.018535248097802545,34,24,9,19,99,108
4820,0.01857056292010349,34,23,9,20,95,140
4821,0.012402845599838747,34,22,9,21,122,182
4822,0.03201079669535813,34,21,10,23,122,176
4823,0.020980689439162564,34,22,8,20,90,132
4824,0.036403303599082754,34,20,8,22,87,196
4825,0.014832517143843565,34,21,11,24,120,160
4826,0.019773127911479033,34,22,9,21,124,222
4827,0.012559757446290346,34,24,7,17,75,122
4828,0.02164779248721503,34,20,9,23,124,248
4829,0.014847151042566467,34,19,10,25,128,206
4830,0.012945275928618594,34,19,12,27,111,144
4831,0.02406370552882421,34,19,8,23,114,248
4832,0.032691293789842285,34,18,10,26,99,192
4833,0.021772483592426922,34,21,10,23,133,182
4834,0.012910817982391663,34,26,7,15,91,100
4835,0.01453580530756646,34,22,8,20,110,158
4836,0.014604533936830158,34,21,10,23,123,162
4837,0.011842283487720907,34,24,7,17,62,92
4838,0.021732550858755216,34,21,10,23,97,138
4839,0.015353328345032169,34,21,7,20,148,314
4840,0.018777778957109758,34,23,10,21,121,136
4841,0.02012445753168923,34,21,8,21,115,244
4842,0.023575115515245187,34,20,11,25,112,156
4843,0.013323667128862356,34,18,9,25,102,210
4844,0.016971225437036302,34,20,12,26,148,178
4845,0.011668668992649782,34,20,12,26,126,168
4846,0.020977257868111596,34,24,8,18,91,130
4847,0.012643073579444972,34,25,7,16,83,116
4848,0.014186536067943359,34,19,9,24,91,168
4849,0.014142615911927309,34,25,7,16,90,114
4850,0.022153945075593623,34,23,8,19,114,214
4851,0.028240340774775965,34,21,10,23,119,170
4852,0.017348713545925598,34,21,7,20,90,182
4853,0.030413614469347393,34,22,11,23,130,154
4854,0.027545704295685855,34,22,9,21,100,144
