bootstrap_replicate,n_unique_source_patients,n_source_patients_selected_more_than_once,n_bootstrap_copies_from_repeated_source_patients,n_profiles_from_repeated_source_patient_copies,n_pre_exclusion_zero_distance_external_candidates
4163,27,14,33,145,202
4164,26,12,32,185,356
4165,29,12,29,144,214
4166,31,12,27,137,206
4167,31,11,26,114,150
4168,31,14,29,154,166
4169,28,16,34,158,174
4170,31,11,26,121,160
4171,29,13,30,153,268
4172,32,13,27,150,180
4173,27,12,31,122,214
4174,27,15,34,132,212
4175,31,12,27,99,120
4176,32,10,24,73,112
4177,29,12,29,139,230
4178,29,12,29,114,156
4179,29,13,30,115,160
4180,28,13,31,121,186
4181,32,12,26,74,98
4182,32,10,24,119,170
4183,28,12,30,152,254
4184,31,11,26,75,114
4185,29,12,29,145,238
4186,31,13,28,111,132
4187,30,10,26,132,236
4188,29,12,29,105,172
4189,30,13,29,100,130
4190,31,12,27,82,112
4191,27,11,30,121,334
4192,30,12,28,104,170
4193,31,11,26,83,120
4194,28,11,29,88,166
4195,32,10,24,70,100
4196,30,10,26,97,172
4197,27,12,31,145,272
4198,28,12,30,126,206
4199,32,9,23,93,164
4200,26,15,35,186,288
4201,30,12,28,116,184
4202,24,14,36,162,310
4203,29,11,28,140,286
4204,33,10,23,99,150
4205,32,10,24,112,166
4206,31,13,28,105,120
4207,26,13,33,105,168
4208,32,11,25,124,172
4209,28,13,31,152,222
4210,26,15,35,121,178
4211,32,10,24,92,148
4212,28,13,31,131,188
4213,33,10,23,95,128
4214,32,12,26,143,176
4215,29,11,28,135,234
4216,30,13,29,139,184
4217,31,13,28,80,98
4218,30,12,28,139,200
4219,29,13,30,120,154
4220,29,11,28,121,200
4221,28,10,28,158,394
4222,27,16,35,173,230
4223,30,13,29,142,228
4224,24,17,39,147,198
4225,27,15,34,145,234
4226,28,13,31,103,148
4227,31,9,24,109,300
4228,27,12,31,105,196
4229,26,13,33,117,174
4230,31,12,27,91,118
4231,30,14,30,144,208
4232,29,14,31,138,186
4233,30,13,29,137,206
4234,28,11,29,131,270
4235,30,13,29,148,190
4236,32,11,25,79,106
4237,32,12,26,74,98
4238,30,13,29,128,170
4239,29,11,28,112,186
4240,31,10,25,103,144
4241,32,12,26,123,144
4242,31,11,26,119,172
4243,29,12,29,109,172
4244,31,12,27,137,158
4245,32,11,25,102,126
4246,25,12,33,115,298
4247,27,13,32,127,176
4248,29,15,32,126,144
4249,29,11,28,121,218
